CASEID	ID	Q1A	Q1B	Q1C1	Q1C2	Q1C3	Q1C4	Q1C5	Q1C6	Q1C7	Q1D1	Q1D2	Q1D3	Q1D4	Q1D5	Q1D6	Q1D7	Q1D8	Q1E	Q1F	Q1G	Q1H	PROSPECT	Q2A1	Q2A2	Q2A3	Q2C	N_2C1	N_2C2	N_2C3	N_2C4	Q2F1	Q2G	N_PERTME	TIC_N_1	TIC_N_2	TIC_N_3	TIC_N_4	TIC_N_5	TIC_N_6	TIC_N_7	TIC_N_8	TIC_N_9	TIC_N_10	TIC_N_11	TIC_N_12	TIC_N_13	TIC_N_14	TIC_N_15	TIC_N_16	Q3A1	Q3B1	N_Q3C1	Q3A2	Q3B2	N_Q3C2	Q3A3	Q3B3	N_Q3C3	Q3A4	Q3B4	N_Q3C4	Q3A5	Q3B5	N_Q3C5	Q3A6	Q3B6	N_Q3C6	Q3A7	Q3B7	N_Q3C7	N_Q3A8	N_Q3B8	N_Q3C8	Q3C1	Q3C2	Q3C3	Q3C4	Q3C5	Q3D	Q3E	Q3F1	Q3F2	Q3G1	Q3G2	Q3G3	Q3G4	Q3G5	Q3G6	Q3H	Q3I	N_Q3K	Q3J	N_Q3M	Q3K1	Q3K2	Q3K3	Q3K4	Q3K5	Q3K6	Q3K7	Q3K8	Q3K9	Q3K10	Q3K11	N_Q3K10	N_Q3K12	Q3L1	Q3M1	Q3L2	Q3M2	Q3L3	Q3M3	Q3L4	Q3M4	Q3N1	Q3N2	Q3N3	Q3O	Q3P	Q3Q	Q5A	Q5B1	Q5B2	Q5C1	Q5C2A	Q5C2B	Q5C2C	Q5C2D	Q5D	Q5E1	Q5E2	Q5E3	Q5F1	Q5F2	Q5G	Q5H	Q5I1	Q5I2	Q5I3	Q5I4	ZIPCODE	GENDER	WEIGHT	DISTRICT	STATE	USRCOFIX	CM_SEG	VERSION
1044	   51664	2	2	8	9	6	9	5	5	5	1	1	2	2	2	2	2	 	5	2	1	1	1	 	 	 	 	 	 	 	 	 	 	 	8	5	7	5	9	5	9	5	9	7	6	8	7	10	10	6	2	 	 	1	2	 	2	 	 	1	2	 	1	2	 	1	2	 	1	2	 	2	 	 	 	 	 	 	 	2	1	2	2	1	1	1	3	3	1	1	2	 	2	 	8	10	5	4	10	1	0	10	5	10	5	5	10	1	3	2	 	2	 	2	 	2	1	2	1	5	0	1	2	6	1	1	0	0	0	4	1970	31	1	5	4	1	2	1	2	 	2	-1	1	.52	6	38	 	7	2
1045	   51673	2	1	9	1	9	9	3	8	5	1	2	1	1	2	1	2	 	4	2	1	1	1	2	2	1	3	2	1	3	4	2	0	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	2	 	 	2	 	 	2	 	 	2	 	 	2	 	 	2	 	 	2	 	 	 	 	 	 	 	3	2	2	2	3	1	1	3	2	2	2	2	 	2	 	10	10	5	1	10	9	1	10	10	10	8	9	10	2	 	1	4	2	 	2	 	2	2	2	2	4	0	1	2	2	2	 	 	 	 	5	1950	51	3	4	1	1	2	2	 	2	5	-1	2	.94	6	5	 	7	1
1046	   51690	4	2	3	5	9	10	1	9	5	2	2	2	2	2	2	2	 	0	2	1	1	1	 	 	 	 	 	 	 	 	 	 	 	6	8	7	0	5	0	10	8	10	3	7	9	5	9	10	0	2	 	 	2	 	 	2	 	 	2	 	 	2	 	 	2	 	 	2	 	 	2	 	 	 	 	 	 	 	3	3	2	2	1	3	1	3	1	1	2	2	 	2	 	9	10	7	5	7	0	0	5	5	5	0	5	5	1	3	1	3	2	 	1	4	1	1	1	2	4	0	1	2	4	1	2	0	0	0	5	1970	31	1	2	1	1	2	1	2	 	2	-1	2	.36	3	39	 	7	2
1047	   51691	3	2	8	6	8	6	5	6	6	1	2	1	1	2	2	1	1	4	2	2	1	1	2	4	2	4	4	3	2	1	2	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	1	1	2	2	 	 	2	 	 	1	2	 	2	 	 	1	2	 	1	2	 	2	1	1	1	2	2	3	2	2	3	1	1	3	3	1	2	2	 	2	 	6	7	0	7	0	5	0	0	0	5	0	7	0	1	3	2	 	2	 	2	 	2	2	1	1	0	0	1	2	4	1	0	1	1	0	3	1962	39	2	4	1	1	2	1	1	 	1	-1	2	1.62	3	39	 	7	1
1048	   51694	2	2	4	5	6	8	4	4	3	1	2	1	2	2	2	2	 	4	2	1	1	1	 	 	 	 	 	 	 	 	 	 	 	7	7	8	4	7	3	8	6	6	3	4	4	8	7	7	7	1	2	 	1	2	 	1	2	 	2	 	 	1	2	 	2	 	 	1	2	 	2	 	 	 	 	 	 	 	3	2	2	2	1	1	1	3	3	1	2	2	 	2	 	8	8	5	9	8	6	9	7	8	8	6	8	8	1	3	2	 	2	 	1	3	2	2	2	2	0	0	1	2	4	1	1	1	0	0	5	1967	34	1	2	1	1	2	9999	 	 	 	-1	2	.64	7	8	 	7	2
1049	   51701	4	2	4	0	5	0	0	3	4	1	2	2	2	2	2	1	0	2	2	1	1	1	3	3	2	4	2	4	1	3	2	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	 	1	2	 	2	 	 	1	2	 	2	 	 	1	2	 	1	2	 	1	2	 	 	 	 	 	 	3	2	2	1	2	1	1	3	3	1	2	2	 	2	 	7	7	5	6	8	6	5	8	5	6	5	5	9	1	2	1	3	2	 	1	3	2	2	2	2	5	0	1	2	5	1	0	0	2	1	5	1960	41	2	4	1	1	2	2	 	1	4	-1	1	.53	7	11	 	7	1
1050	   51716	2	1	3	0	5	7	10	5	7	2	2	2	2	2	2	2	 	0	2	1	1	1	 	 	 	 	 	 	 	 	 	 	 	9	10	10	9	9	10	10	7	9	7	9	10	10	10	10	10	2	 	 	2	 	 	2	 	 	2	 	 	2	 	 	2	 	 	2	 	 	2	 	 	 	 	 	 	 	2	2	9999	2	3	1	1	1	3	1	2	1	7	1	17	10	10	10	5	10	10	5	10	8	0	0	7	10	1	2	1	3	2	 	1	3	2	1	2	2	10	0	2	9999	 	 	 	 	 	 	5	1944	57	4	5	 	1	2	1	1	 	1	-1	1	.52	3	39	 	7	2
1051	   51723	2	2	5	5	7	9	0	0	5	2	2	2	1	2	2	2	 	3	2	2	1	1	3	3	2	3	4	1	2	3	2	2	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	2	 	 	2	 	 	2	 	 	2	 	 	2	 	 	2	 	 	2	 	 	 	 	 	 	 	2	2	2	2	1	1	1	3	3	1	2	1	21	1	33	8	9	8	7	8	8	5	7	7	3	8	8	5	1	2	1	4	2	 	1	4	1	2	2	2	2	0	1	2	2	2	 	 	 	 	3	1979	22	1	1	1	1	2	1	1	 	1	-1	1	1.86	1	50	 	7	1
1052	   51725	3	1	0	5	10	10	8	5	9	2	1	1	2	2	2	2	 	4	2	1	1	1	4	4	1	2	4	2	3	1	2	5	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	2	1	1	2	1	1	1	2	 	 	2	 	 	2	 	 	2	 	 	1	2	 	1	1	2	1	2	3	2	2	2	1	1	1	2	3	1	2	2	 	2	 	10	8	6	5	8	0	0	9	2	0	6	7	10	1	1	2	 	2	 	1	4	1	1	2	2	0	0	2	2	3	1	1	0	0	0	3	1977	24	1	2	 	1	2	1	1	 	1	-1	2	1.86	6	48	 	7	1
1053	   51731	3	2	2	3	8	10	8	2	8	1	2	1	2	2	2	2	 	3	2	1	2	1	2	4	1	3	4	2	1	3	2	5	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	 	2	 	 	1	2	 	2	 	 	1	1	2	1	2	 	1	2	 	9999	 	 	1	1	2	2	2	3	3	1	2	3	1	1	3	3	3	2	1	2	2	 	5	10	5	5	10	8	10	8	10	1	5	8	5	1	3	1	3	2	 	2	 	1	1	1	2	4	0	1	2	2	2	 	 	 	 	3	1940	61	4	3	3	9999	2	9999	 	 	 	-1	2	1.37	1	50	 	7	1
