FAMID	W1M003	W1M004	W1M005	W1M006	W1M007	W1M008	W1M009	W1M010	W1M011	W1M012	W1M013	W1M014	W1M015	W1M016	W1M017	W1M018	W1M019	W1M020	W1M021	W1M022	W1M023	W1M024	W1M025	W1M026	W1M027	W1M028	W1M029	W1M030	W1M031	W1M032	W1M033	W1M034	W1M035	W1M036	W1M037	W1M038	W1M039	W1M040	W1M041	W1M042	W1M043	W1M044	W1M045	W1M046	W1M047	W1M048	W1M049	W1M050	W1M051	W1M052	W1M053	W1M054	W1M055	W1M056	W1M057	W1M058	W1M059	W1M060	W1M061	W1M062	W1M063	W1M064	W1M065	W1M066	W1M067	W1M068	W1M069	W1M070	W1M071	W1M072	W1M073	W1M074	W1M075	W1M076	W1M077	W1M078	W1M079	W1M080	W1M081	W1M082	W1M083	W1M084	W1M085	W1M086	W1M087	W1M088	W1M089	W1M090	W1M091	W1M092	W1M093	W1M094	W1M095	W1M096	W1M097	W1M098	W1M099	W1M100	W1M101	W1M102	W1M103	W1M104	W1M105	W1M106	W1M107	W1M108	W1M109	W1M110	W1M111	W1M112	W1M113	W1M114	W1M115	W1M116	W1M117	W1M118	W1M119	W1M120	W1M121	W1M122	W1M123	W1M124	W1M125	W1M126	W1M127	W1M128	W1M129	W1M130	W1M131	W1M132	W1M133	W1M134	W1M135	W1M136	W1M137	W1M138	W1M139	W1M140	W1M141	W1M142	W1M143	W1M144	W1M145	W1M146	W1M147	W1M148	W1M149	W1M150	W1M151	W1M152	W1M153	W1M154	W1M155	W1M156	W1M157	W1M158	W1M159	W1M160	W1M162	W1M163	W1M164	W1M165	W1M166	W1M167	W1M168	W1M169	W1M214	W1M216	W1M217	W1M218	W1M219	W1M220	W1M221	W1M222	W1M223	W1M225	W1M227	W1M229	W1M230	W1M246A	W1M246B	W1M246C	W1M246D	W1M247A	W1M247B	W1M247C	W1M248A	W1M248B	W1M248C	W1M248D	W1M249	W1M250	W1F003	W1F004	W1F005	W1F006	W1F007	W1F008	W1F009	W1F010	W1F011	W1F012	W1F013	W1F014	W1F015	W1F016	W1F017	W1F018	W1F019	W1F020	W1F021	W1F022	W1F023	W1F024	W1F025	W1F026	W1F027	W1F028	W1F029	W1F030	W1F031	W1F032	W1F033	W1F034	W1F035	W1F036	W1F037	W1F038	W1F039	W1F040	W1F041	W1F042	W1F043	W1F044	W1F045	W1F046	W1F047	W1F048	W1F049	W1F050	W1F051	W1F052	W1F053	W1F054	W1F055	W1F056	W1F057	W1F058	W1F059	W1F060	W1F061	W1F062	W1F063	W1F064	W1F065	W1F066	W1F067	W1F068	W1F069	W1F070	W1F071	W1F072	W1F073	W1F074	W1F075	W1F076	W1F077	W1F078	W1F079	W1F080	W1F081	W1F082	W1F083	W1F084	W1F085	W1F086	W1F087	W1F088	W1F089	W1F090	W1F091	W1F092	W1F093	W1F094	W1F095	W1F096	W1F097	W1F098	W1F099	W1F100	W1F101	W1F102	W1F103	W1F104	W1F105	W1F106	W1F107	W1F108	W1F109	W1F110	W1F111	W1F112	W1F113	W1F114	W1F115	W1F116	W1F117	W1F118	W1F119	W1F120	W1F121	W1F122	W1F123	W1F124	W1F125	W1F126	W1F127	W1F128	W1F129	W1F130	W1F131	W1F132	W1F133	W1F134	W1F135	W1F136	W1F137	W1F138	W1F139	W1F140	W1F141	W1F142	W1F143	W1F144	W1F145	W1F146	W1F147	W1F148	W1F149	W1F150	W1F151	W1F152	W1F153	W1F154	W1F155	W1F156	W1F157	W1F158	W1F159	W1F160	W1F162	W1F163	W1F164	W1F165	W1F166	W1F167	W1F168	W1F169	W1F214	W1F216	W1F217	W1F218	W1F219	W1F220	W1F221	W1F222	W1F223	W1F225	W1F227	W1F229	W1F230	W1F246A	W1F246B	W1F246C	W1F247A	W1F247B	W1F247C	W1F248A	W1F248B	W1F248C	W1F249	W1F250	TW1M105	TW1M109	TW1M111	TW1M113	TW1M119	TW1M132	TW1M134	TW1M136	W1M161A	W1M161B	W1M161C	W1M161D	W1M161E	W1M161F	W1M161G	W1M161H	W1M161I	W1M161J	W1M170A	W1M224A	W1M228A	W1M240A	TW1F105	TW1F109	TW1F111	TW1F113	TW1F119	TW1F132	TW1F134	TW1F136	W1F161A	W1F161B	W1F161C	W1F161D	W1F161E	W1F161F	W1F161G	W1F161H	W1F161I	W1F161J	W1F170A	W1F224A	W1F228A	W1F240A	W1M235	W1M236	W1M237	W1M238	W1M239	W1M240	W1M241	W1M242	W1M243	W1M244	W1F235	W1F236	W1F237	W1F238	W1F239	W1F240	W1F241	W1F242	W1F243	W1F244
277	4	2	4	13	12	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	3	-9	-9	1	2	45	60	-9	-9	-9	-9	1	-9	1	2	1	1	3	1	2	3	2	3	3	2	1	1	1	10	20	50	50	-9	-9	1	-9	4	2	3	3	3	2	2	1	2	1	2	3	3	1	2	2	3	3	3	2	2	-9	69	2	73	1	1	15	1	4	1	-9	-9	1	4	2	1	2	1	1	1	2	4	-9	-9	-9	-9	-9	-9	-9	13	-9	-9	-9	1	2	-9	3	4	15	-9	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	3	-9	-9	1	2	30	30	0	0	-9	-9	1	-9	1	2	0	12	4	1	1	1	1	2	2	1	2	1	1	2	2	25	25	5	5	1	-9	5	2	3	4	5	2	1	1	1	1	1	1	2	1	2	1	2	1	2	3	2	-9	73	1	70	2	1	15	1	4	1	-9	-9	1	3	1	-9	2	1	1	1	2	4	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	2	-9	52.5	-9	-9	1	15	50	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	6	1	1	55.28	-9	30	0	-9	6	2	25	5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	6	1	1	55.28	185	1	6	7	46	243	682	1	5	1	739	3	8	1	50	243	682	3	5	1
278	1	2	4	13	12	2	2	1	2	2	2	2	10	2	2	2	3	3	1	1	-9	72	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	32	2	34	1	1	15	1	1	1	-9	-9	1	2	1	-9	2	1	1	2	1	6	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	2	5	3	5	12	12	2	1	2	2	2	2	1	12.5	2	2	3	3	3	2	2	2	72	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	40	58	0	1	-9	-9	50	50	-9	-9	1	15	0	1	-9	-9	4	5	3	3	2	3	2	3	1	1	1	0	0	40	50	40	50	2	3	3	2	3	3	4	3	3	4	1	3	2	2	2	2	2	2	2	2	2	2	3	-9	34	1	32	2	1	15	1	1	1	-9	-9	1	2	1	-9	2	1	1	2	1	6	2	5	9	10	-9	-9	3	6	-9	1	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	2	-9	49	-9	50	-9	-9	0	45	45	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	2	28.88	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	649	6	8	2	38	769	162	6	8	2
280	1	1	1	11	11	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	72	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	1	2	2	2	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	35	35	0	1	-9	-9	35	35	-9	-9	1	20	0	1	-9	-9	1	5	4	2	3	3	1	2	2	1	1	0	0	35	35	35	35	1	-9	2	4	4	2	2	5	4	4	1	2	2	2	2	1	2	3	1	4	4	4	3	4	31	2	-9	-9	-9	15	2	1	3	-9	-9	5	1	2	1	2	1	1	1	1	3	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	3	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	-9	35	-9	35	-9	-9	0	35	35	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	1	39.95	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	355	6	7	4	14	447	832	6	7	4	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
281	1	4	5	11.5	11.5	2	1	1	1	2	2	2	12	1	2	3	2	3	1	1	3	72	2	2	2	1	2	1	2	2	2	1	2	2	1	1	2	2	1	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	40	40	0	1	-9	-9	45	45	-9	-9	1	10	0	1	-9	-9	3	2	2	2	1	2	3	2	1	2	1	20	20	10	10	25	25	2	5	4	2	1	2	3	2	4	2	2	3	4	1	4	2	2	3	2	2	2	2	2	-9	45	2	-9	1	-9	15	2	1	2	5	11	5	7	1	-9	2	1	1	1	2	5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	-9	40	-9	45	-9	-9	20	10	25	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	1	43.46	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	213	1	3	2	10	304	512	1	2	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
285	1	4	5	16	-9	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	72	2	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	40	40	0	2	12	12	40	40	-9	-9	1	25	0	1	-9	-9	3	3	2	3	1	2	3	2	1	1	1	20	20	-9	-9	10	10	1	-9	2	2	3	3	-9	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	-9	47	2	46	1	1	15	1	1	1	-9	-9	1	2	1	-9	2	2	1	1	2	4	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	2	5	3	1	16	16	2	2	2	1	2	2	2	0	2	2	2	3	-9	1	2	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	3	-9	1	40	40	0	2	25	25	40	40	-9	-9	0	45	0	1	-9	-9	3	3	4	3	2	2	1	3	2	1	2	-9	-9	40	40	-9	-9	1	-9	5	2	3	3	-9	4	3	-9	2	3	3	3	2	1	3	4	1	2	4	3	-9	-9	46	1	47	2	-9	-9	-9	-9	-9	-9	-9	1	1	2	1	2	2	-9	-9	-9	3	-9	-9	-9	5	-9	-9	-9	-9	-9	1	2	40	12	40	-9	-9	20	-9	10	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	2	1	21.9	40	25	40	-9	-9	-9	40	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	-9	40.09	355	6	7	7	10	439	831	3	7	7	810	3	8	4	14	783	-9	3	8	4
286	-9	4	5	12	12	2	2	1	2	2	2	2	100	1	4	3	3	3	2	2	3	72	2	2	1	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	40	40	0	1	-9	-9	40	40	-9	-9	0	10	0	1	-9	-9	5	5	5	5	4	5	1	1	2	1	2	40	40	40	40	0	0	1	-9	1	4	4	3	3	3	4	4	3	1	3	3	3	1	4	4	2	4	4	4	4	-9	33	2	-9	-9	-9	15	1	1	1	-9	-9	5	3	2	2	2	1	1	1	2	6	4	-9	-9	-9	9	10	-9	6	-9	-9	-9	1	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	-9	40	-9	40	-9	-9	40	40	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	1	42.4	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	209	5	8	7	26	354	412	5	8	7	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
287	1	3	2	15.5	15.5	2	1	2	2	2	2	1	30	1	2	2	2	3	1	-9	-9	73	1	2	2	2	1	2	2	2	1	2	2	2	2	2	2	1	2	2	2	1	2	1	2	2	2	2	2	1	2	2	2	1	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	2	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	4	4	4	3	3	4	4	4	4	3	3	4	2	3	1	-9	32	2	33	1	1	15	2	1	1	-9	-9	1	-9	1	-9	2	4	2	1	0	3	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	4	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	6	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	4	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
288	1	1	7	12	12	2	1	2	2	2	2	2	17.5	2	2	2	3	3	1	1	3	73	2	1	2	1	2	2	2	1	2	2	2	1	2	1	2	1	2	2	2	1	2	2	2	1	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	3	50	50	0	2	10	10	50	50	-9	-9	1	20	0	1	-9	-9	1	4	2	2	1	2	2	3	1	1	1	25	25	25	25	40	40	2	20	5	1	1	1	2	3	2	3	1	1	3	2	3	3	3	3	3	4	2	2	3	-9	38	2	41	1	1	14	2	1	1	-9	-9	2	8	2	5	2	1	1	4	3	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	3	6	1	6	12	12	2	1	1	2	2	2	2	25	2	2	1	2	3	1	1	3	-9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	50	50	0	1	-9	-9	50	50	-9	-9	1	25	0	1	-9	-9	3	4	2	3	1	2	2	4	2	2	1	20	20	0	0	40	40	2	70	2	1	1	2	3	1	2	2	3	3	3	2	3	3	3	3	3	2	3	4	3	4	41	1	38	2	1	14	2	2	1	-9	-9	2	6	1	-9	2	1	1	4	3	13	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	3	50	10	50	-9	-9	25	25	40	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	1	81.09	50	-9	50	-9	-9	20	0	40	-9	4	-9	-9	-9	-9	-9	-9	-9	-9	2	1	1	62.83	70	1	0	1	90	84	812	1	0	1	99	1	1	7	18	14	842	1	1	7
289	1	-9	8	16	15	2	2	2	2	2	2	1	3	1	1	1	1	3	2	1	3	72	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	2	1	1	2	2	1	2	2	1	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	40	40	0	2	30	30	40	40	-9	-9	0	5	0	1	-9	-9	2	2	3	2	2	2	1	3	2	2	1	20	25	10	15	5	10	-9	-9	2	1	1	2	-9	5	3	4	3	4	4	4	4	1	4	3	4	4	3	4	4	-9	43	2	46	1	1	15	1	1	1	-9	-9	1	5	1	-9	2	8	2	1	2	7	9	-9	-9	-9	-9	-9	-9	4	7	-9	-9	1	2	-9	-9	8	16	15	2	2	2	2	2	1	-9	0	-9	2	1	3	3	1	-9	-9	72	1	2	2	2	1	2	2	2	1	2	2	2	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	1	2	2	2	1	2	1	2	2	2	1	2	1	2	2	2	1	2	1	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	40	40	0	1	-9	-9	8	10	-9	-9	0	4	0	1	-9	-9	2	1	-9	-9	1	1	3	3	2	1	2	-9	-9	40	40	-9	-9	1	-9	2	1	3	1	3	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	46	1	43	2	-9	15	1	1	1	-9	-9	1	2	2	5	2	8	2	1	2	7	-9	-9	-9	-9	-9	-9	13	-9	-9	1	2	40	30	40	-9	-9	22.5	12.5	7.5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	2	1	59.87	40	-9	9	-9	-9	-9	40	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	2	1	46.65	75	3	7	4	10	95	832	3	7	4	621	2	8	1	14	508	421	2	8	1
292	1	3	3	15	-9	2	1	2	2	2	2	1	6	1	2	3	1	3	-9	1	3	73	2	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	40	40	0	2	3	4	40	40	-9	-9	1	15	0	1	-9	-9	3	2	2	2	1	2	3	3	2	1	1	10	10	25	25	15	15	2	2	3	2	1	3	1	2	4	4	4	4	4	3	4	4	4	3	4	4	4	4	4	-9	44	2	-9	-9	-9	15	1	1	1	-9	-9	5	3	2	3	2	1	1	1	2	5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	-9	40	3.5	40	-9	-9	10	25	15	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	1	45.8	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	201	3	6	2	30	313	850	3	3	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
